PassengerId,Survived_pred,Probability
892,0,0.15862093186799986
893,0,0.4162646523960453
894,0,0.12976955505994436
895,0,0.14585458949832894
896,0,0.46215426169926016
897,0,0.179163138937802
898,1,0.8534880471638889
899,0,0.16823338721095213
900,1,0.7830251524293266
901,0,0.10237250139984888
902,0,0.14550678144704
903,0,0.15637023695141175
904,1,0.8915269304273479
905,0,0.1594731530516083
906,1,0.9135679751130589
907,1,0.8926995518222812
908,0,0.1358589615362448
909,0,0.17072187148076454
910,0,0.4207445315434037
911,1,0.5317080036228548
912,0,0.27091806110781397
913,1,0.5232913634643469
914,1,0.9050179285868846
915,0,0.2874737497463365
916,1,0.5178228115324749
917,0,0.13811484139516955
918,1,0.8980595008576869
919,0,0.1655625256912142
920,0,0.1554397563427287
921,0,0.15623619985610615
922,0,0.1550431507605786
923,0,0.1381417643654547
924,0,0.3400882140573632
925,0,0.3710323430036487
926,0,0.21619896564033456
927,0,0.18231600286111518
928,1,0.5195832111188669
929,1,0.5453574268392634
930,0,0.14639494535453465
931,0,0.2615855672801518
932,0,0.10957214336608721
933,0,0.15619207125919982
934,0,0.156851555335528
935,1,0.864131141527634
936,1,0.9146325721495502
937,0,0.14429132593479096
938,0,0.15908702089932997
939,0,0.15297245425952027
940,1,0.8165644637882211
941,0,0.5111573098020268
942,0,0.18115318767498878
943,0,0.13323929898685638
944,1,0.7447645996584806
945,1,0.8563416287361828
946,0,0.13233378152080472
947,0,0.1290143951876779
948,0,0.15309711143474333
949,0,0.14393489938099727
950,0,0.11671993921461893
951,1,0.8282617978859008
952,0,0.1598766669598973
953,0,0.1458889548843208
954,0,0.1555785319588033
955,1,0.8622575138081595
956,0,0.5122123009410589
957,1,0.8759559675331807
958,1,0.8602067726971308
959,0,0.1566399433030347
960,0,0.15428300608515727
961,0,0.2524914242258819
962,1,0.8620675394445069
963,0,0.14760834275834808
964,1,0.5166944032726084
965,0,0.15643164996876407
966,1,0.8554391086810436
967,0,0.16005439582897374
968,0,0.14571209194926488
969,1,0.8046155493890491
970,0,0.14361865430698575
971,1,0.8620675394445069
972,1,0.6454428259294921
973,0,0.5
974,0,0.1559538704018627
975,0,0.14550678144704
976,0,0.13268672234128912
977,0,0.14992863651907792
978,1,0.8596720401898347
979,1,0.5589640342111025
980,1,0.8579604843011989
981,1,0.8737159329748998
982,0,0.45780984996002433
983,0,0.1453466574308989
984,1,0.922029989018613
985,0,0.14571209194926488
986,0,0.16331212988182467
987,0,0.14412346926765482
988,1,0.706120473725465
989,0,0.14641439324157351
990,1,0.5473131146561823
991,0,0.15106209370139537
992,1,0.8994659236472883
993,0,0.13964020976346947
994,0,0.15297245425952027
995,0,0.14423898504269508
996,1,0.8163440920532045
997,0,0.16968041684547533
998,0,0.15455181790222408
999,0,0.15297245425952027
1000,0,0.1466058658547689
1001,0,0.160727419822576
1002,0,0.13320013745125064
1003,1,0.8579975967154712
1004,1,0.8564840394883934
1005,1,0.8599957837120843
1006,1,0.808259105831969
1007,0,0.20624379789795697
1008,0,0.154301015719943
1009,1,0.8377201215228908
1010,0,0.16176458523989684
1011,1,0.8580868910781225
1012,1,0.8553809981745241
1013,0,0.15371584396088303
1014,1,0.9010643775495707
1015,0,0.14465804682345335
1016,0,0.15297245425952027
1017,1,0.7403717790619553
1018,0,0.1459469609027584
1019,1,0.7779092123999137
1020,0,0.15535407107413957
1021,0,0.14465088103719145
1022,0,0.1498807027113522
1023,0,0.1572185152861778
1024,0,0.29267179344162636
1025,0,0.1451882108656983
1026,0,0.15684592330509822
1027,0,0.14439712150837875
1028,0,0.15681313927132284
1029,0,0.14259576507825547
1030,1,0.5348337983997575
1031,0,0.20422457498464042
1032,0,0.2101969602828219
1033,1,0.8817595143334416
1034,0,0.25445158152161385
1035,0,0.15364278815860316
1036,0,0.1558686714689756
1037,0,0.11578583113709903
1038,0,0.15624112935922888
1039,0,0.14627394952707345
1040,0,0.15619207125919982
1041,0,0.13159759065826443
1042,1,0.887668373201676
1043,0,0.15549296118980874
1044,0,0.15414307018522488
1045,0,0.5
1046,0,0.09749966373516489
1047,0,0.1440061002121852
1048,1,0.853467337057078
1049,1,0.5341156719864686
1050,0,0.1558686714689756
1051,1,0.6199792081046143
1052,1,0.8579392474835321
1053,1,0.6120379149910915
1054,1,0.8612024038585453
1055,0,0.14433429574830128
1056,0,0.1548824596640691
1057,0,0.44203265464842073
1058,0,0.16976304878148404
1059,0,0.09407184786520728
1060,1,0.8549523907645932
1061,1,0.5421083237728156
1062,0,0.14505008788751184
